,Film Name, Box Office Gross 
2934,Rain Man (1988)," $172,825,435.00 "
2935,Working Girl (1988)," $63,779,477.00 "
3055,Broadcast News (1987)," $51,249,404.00 "
3056,Fatal Attraction (1987)," $156,645,693.00 "
3057,Hope and Glory (1987)," $10,021,120.00 "
3058,The Last Emperor (1987)," $43,984,230.00 "
3059,Moonstruck (1987)," $80,640,528.00 "
3175,Children of a Lesser God (1986)," $31,853,080.00 "
3176,Hannah and Her Sisters (1986)," $35,392,203.00 "
3177,The Mission (1986)," $17,218,023.00 "
3178,Platoon (1986)," $138,530,565.00 "
3179,A Room with a View (1986)," $20,966,644.00 "
3298,The Color Purple (1985)," $94,175,854.00 "
3299,Kiss of the Spider Woman (1985)," $17,005,229.00 "
3300,Out of Africa (1985)," $87,071,205.00 "
3301,Prizzi's Honor (1985)," $26,657,534.00 "
3302,Witness (1985)," $68,706,993.00 "
3417,Amadeus (1984)," $51,564,280.00 "
3418,The Killing Fields (1984)," $61,700,291.00 "
3419,A Passage to India (1984)," $27,187,653.00 "
3420,Places in the Heart (1984)," $34,901,614.00 "
3421,A Soldier's Story (1984)," $21,821,347.00 "
3535,The Big Chill (1983)," $56,342,711.00 "
3536,The Dresser (1983)," $5,310,748.00 "
3537,The Right Stuff (1983)," $21,192,102.00 "
3538,Tender Mercies (1983)," $8,443,124.00 "
3539,Terms of Endearment (1983)," $108,423,489.00 "
3653,E.T. The Extra-Terrestrial (1982)," $359,197,037.00 "
3654,Gandhi (1982)," $52,767,889.00 "
3655,Missing (1982)," $14,000,000.00 "
3656,Tootsie (1982)," $177,200,000.00 "
3657,The Verdict (1982)," $53,977,250.00 "
3773,Atlantic City (1981)," $12,729,678.00 "
3774,Chariots of Fire (1981)," $58,972,904.00 "
3775,On Golden Pond (1981)," $119,285,432.00 "
3776,Raiders of the Lost Ark (1981)," $212,222,025.00 "
3777,Reds (1981)," $40,382,659.00 "
3891,Coal Miner's Daughter (1980)," $67,182,787.00 "
3892,The Elephant Man (1980)," $26,010,864.00 "
3893,Ordinary People (1980)," $54,766,923.00 "
3894,Raging Bull (1980)," $23,334,953.00 "
3895,Tess (1980)," $20,093,330.00 "
4007,All That Jazz (1979)," $37,823,676.00 "
4008,Apocalypse Now (1979)," $78,784,010.00 "
4009,Breaking Away (1979)," $16,424,918.00 "
4010,Kramer vs. Kramer (1979)," $106,260,000.00 "
4011,Norma Rae (1979)," $22,228,000.00 "
4132,Coming Home (1978)," $32,653,905.00 "
4133,The Deer Hunter (1978)," $48,979,328.00 "
4134,Heaven Can Wait (1978)," $81,640,278.00 "
