Year,Won?,Acting Noms,Acting Wins,Writing Noms,Writing Wins,Directing Noms,Directing Wins,Cinematography Noms,Cinematography Wins,Editing Noms,Editing Wins,Production Design Noms,Production Design Wins,Sound Noms,Sound Wins,Total Nominations,Total Wins
1996,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0
1996,0,2,1,1,0,1,0,0,0,1,0,0,0,1,0,6,1
1995,0,2,0,1,0,0,0,0,0,1,1,1,0,2,1,7,2
1995,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,5,0
1995,1,0,0,1,0,1,1,1,1,1,0,2,1,3,1,9,4
1995,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,4,1
1995,0,2,0,1,1,0,0,1,0,0,0,1,0,1,0,6,1
1994,1,2,1,1,1,1,1,1,0,1,1,2,0,3,0,11,4
1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1994,0,3,0,1,1,1,0,0,0,1,0,0,0,0,0,6,1
1994,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0
1994,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,6,0
1993,0,1,1,0,0,0,0,1,0,1,0,0,0,3,0,6,1
1993,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,6,0
1993,0,2,2,1,1,1,0,1,0,1,0,1,0,0,0,7,3
1993,0,2,0,1,0,1,0,0,0,0,0,2,0,1,0,7,0
1993,1,2,0,1,1,1,1,1,1,1,1,3,1,2,1,11,6
1992,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,5,1
1992,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0
1992,0,2,1,1,1,1,0,1,0,0,0,2,1,1,0,8,3
1992,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,3,1
1992,1,2,1,1,0,1,1,1,0,1,1,1,0,1,0,8,3
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,2
1991,0,3,0,1,0,1,0,1,0,0,0,2,2,1,0,9,2
1991,0,1,0,1,0,1,0,1,1,1,1,0,0,2,0,7,2
1991,0,2,0,1,0,0,0,1,0,0,0,1,0,1,0,6,0
1991,1,2,2,1,1,1,1,0,0,1,0,0,0,1,0,6,4
1990,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
1990,1,3,0,1,1,1,1,1,1,1,1,2,0,2,2,11,6
1990,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,4,2
1990,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,6,0
1990,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,5,1
1989,0,1,0,1,0,1,1,1,0,1,1,0,0,2,0,7,2
1989,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,3,1
1989,1,3,1,1,1,0,0,0,0,1,0,3,1,0,0,8,3
1989,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0
1989,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,4,2
1988,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,3,1
1988,0,2,0,1,1,0,0,0,0,0,0,2,2,1,0,6,3
1988,0,2,0,0,0,1,0,1,1,1,0,0,0,1,0,6,1
1988,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,7,3
1988,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,5,1
1987,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,6,0
1987,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,5,0
1987,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,4,0
1987,1,0,0,1,1,1,1,1,1,1,1,2,2,2,2,8,8
1987,0,3,2,1,1,1,0,0,0,0,0,0,0,0,0,5,3
1986,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1
1986,0,2,2,1,1,1,0,0,0,1,0,1,0,0,0,6,3
1986,0,0,0,0,0,1,0,1,1,1,0,2,0,1,0,6,1
1986,1,2,0,1,0,1,1,1,0,1,1,0,0,1,1,7,3
1986,0,2,0,1,1,1,0,1,0,0,0,2,2,0,0,7,3
1985,0,3,0,1,0,0,0,1,0,0,0,3,0,2,0,10,0
1985,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,3,1
1985,1,2,0,1,1,1,1,1,1,1,0,2,1,2,2,10,6
1985,0,3,1,1,0,1,0,0,0,1,0,1,0,0,0,7,1
1985,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,7,2
1984,1,2,1,1,1,1,1,1,0,1,0,3,3,1,1,10,7
1984,0,2,1,1,0,1,0,1,1,1,1,0,0,0,0,6,3
1984,0,2,1,1,0,1,0,1,0,1,0,2,0,2,1,10,2
1984,0,3,1,1,1,1,0,0,0,0,0,1,0,0,0,6,2
1984,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
1983,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
1983,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0
1983,0,1,0,0,0,0,0,1,0,1,1,1,0,3,3,7,4
1983,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,4,2
1983,1,4,2,1,1,1,1,0,0,1,0,1,0,2,0,10,4
1982,0,0,0,1,0,1,0,1,0,1,0,0,0,3,3,7,3
1982,1,1,1,1,1,1,1,1,1,1,1,3,2,2,0,10,7
