Year,Won?,Acting Noms,Acting Wins,Writing Noms,Writing Wins,Directing Noms,Directing Wins,Cinematography Noms,Cinematography Wins,Editing Noms,Editing Wins,Production Design Noms,Production Design Wins,Sound Noms,Sound Wins,Total Nominations,Total Wins
1942,0,2,0,1,0,1,0,0,0,0,0,1,0,1,0,6,0
1942,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,6,0
1942,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0
1942,0,2,1,1,0,1,0,0,0,1,0,0,0,2,2,7,3
1941,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,3,1
1941,0,1,0,1,1,1,0,1,0,1,0,1,0,2,0,8,1
1941,0,2,0,2,2,1,0,1,0,0,0,0,0,0,0,6,2
1941,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,5,0
1941,1,2,1,1,0,1,1,1,1,1,0,1,1,2,0,9,4
1941,0,3,0,1,0,1,0,0,0,1,0,1,0,1,0,8,0
1941,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1941,0,3,1,1,0,1,0,1,0,1,1,1,0,2,0,10,2
1941,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1
1940,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
1940,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,4,0
1940,0,2,1,1,0,1,1,0,0,1,0,0,0,1,0,6,2
1940,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0
1940,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,4,1
1940,0,2,0,0,0,1,0,1,0,1,0,0,0,1,0,6,0
1940,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,4,0
1940,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0
1940,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,5,2
1940,1,3,0,1,0,1,0,1,1,1,0,1,0,1,0,9,1
1939,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
1939,1,4,2,1,1,1,1,1,1,1,1,1,1,2,0,11,7
1939,0,2,1,1,0,1,0,0,0,1,0,0,0,1,0,6,1
1939,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,5,0
1939,0,3,0,2,1,1,0,0,0,1,0,1,0,2,0,10,1
1939,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0
1939,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,4,0
1939,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,6,2
1939,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,4,2
1939,0,2,0,1,0,1,0,1,1,0,0,1,0,1,0,7,1
1938,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3
1938,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,5,1
1938,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,4,2
1938,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0
1938,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,4,0
1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1938,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,4,2
1938,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1
1938,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0
1938,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,6,1
1937,0,2,0,1,0,1,1,0,0,1,0,0,0,0,0,5,1
1937,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,3,1
1937,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0
1937,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,4,2
1937,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,4,1
1937,1,2,1,2,1,1,0,0,0,0,0,1,0,2,0,8,2
1937,0,1,0,0,0,0,0,0,0,1,1,1,1,2,0,5,2
1937,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,4,1
1937,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0
1937,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,5,1
1936,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,5,4
1936,0,2,0,1,0,1,0,0,0,0,0,1,1,1,0,6,1
1936,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,5,1
1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,4,1
1936,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
1936,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,4,1
1936,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,3,3
1936,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1936,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0
1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1935,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1935,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,4,0
1935,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1935,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,5,4
1935,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0
1935,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,5,0
1935,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,2
1935,1,2,0,1,0,1,0,0,0,1,0,0,0,1,0,6,0
1935,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1935,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0
1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1934,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,3,1
1934,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1934,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,4,1
1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1934,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1934,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,4,4
1934,0,1,0,0,0,1,0,0,0,1,0,0,0,2,2,5,2
1934,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0
1934,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0
1934,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1933,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2,2
1933,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,3,2
1933,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1933,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1933,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0
1933,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1
1933,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1932,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0
1932,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,2
1932,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,2
1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1
1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1931,1,2,0,1,1,1,0,1,0,0,0,1,1,0,0,6,2
1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1931,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
1931,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,3,1
1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0
1930,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,3,2
1930,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1930,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1930,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0
1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1929,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1928,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
